"■資産合計欄"
"","時価評価額[円]","前日比[円]","前日比[％]","前月比[円]","前月比[％]","評価損益[円]","評価損益[％]","","実現損益[円]","配当・分配金[円貨]","配当・分配金[外貨]"
"資産合計","4,924,960","+108,336","+2.25","-84,496","-1.69","+843,161","-","","+622,513","4,962","14.93"

"保有商品の評価額合計","4,540,593","+107,861","+2.43","-424,422","-8.55","+843,161","-","","","",""
"国内株式","144,780","0","0.00","-32,095","-18.15","+13,420","-","","+141,342","4,710",""
"米国株式","2,222,334","+99,873","+4.71","+704,412","+46.41","+245,084","-","","-26,338","0","14.93"
"中国株式","0","0","0.00","0","0.00","0","-","","-","0",""
"アセアン株式","0","0","0.00","0","0.00","0","-","","-","",""
"投資信託","2,173,479","+7,988","+0.37","-1,096,739","-33.54","+584,657","-","","+507,509","252",""
"楽天・マネーファンド","0","0","0.00","0","0.00","-","-","","-","",""
"外貨建MMF","0","0","0.00","0","0.00","0","-","","-","",""
"国内債券","0","0","0.00","0","0.00","0","-","","-","",""
"外国債券","0","0","0.00","0","0.00","0","-","","-","",""
"金・プラチナ","0","0","0.00","0","0.00","0","-","","-"

"預り金合計","384,367","+475","+0.12","+339,926","+764.89","-","-","","","",""
"預り金","341,510","+1,000","+0.29","+340,510","+34,051.00","-","-","","","",""
"外貨預り金","42,857","-525","-1.21","-584","-1.34","-","-","","","",""
"信用保証金","0","0","0.00","0","0.00","-","-","","","",""
"米国株式信用保証金（円）","0","0","0.00","0","0.00","-","-","","","",""
"米国株式信用保証金（USD）","0","0","0.00","0","0.00","-","-","","","",""

"信用評価損益","0","0","0.00","0","0.00","0","-","","","",""
"信用建玉評価損益（米国株）","0","0","0.00","0","0.00","0","-","","","",""

"楽天銀行普通預金残高","未取得"


"■ 保有商品詳細 (すべて）"

"種別","銘柄コード・ティッカー","銘柄","口座","保有数量","［単位］","平均取得価額","［単位］","現在値","［単位］","現在値(更新日)","(参考為替)","前日比","［単位］","時価評価額[円]","時価評価額[外貨]","評価損益[円]","評価損益[％]"
"国内株式","4880","セルソース","NISA成長投資枠","80","株","830.82","円","623.0","円","","","-2.0","円","49,840","-","-16,626","-25.01"
"国内株式","7974","任天堂","NISA成長投資枠","6","株","8,855.50","円","13,760.0","円","","","+75.0","円","82,560","-","+29,427","+55.38"
"国内株式","9432","ＮＴＴ","NISA成長投資枠","76","株","154.75","円","162.9","円","","","-0.1","円","12,380","-","+619","+5.26"
"米国株式","TSLA","テスラ","特定","8","株","379.8787","USD","340.0100","USD","","","+19.9000","USD","399,742","2,720.08 USD","-69,433","-14.79"
"米国株式","ADSK","オートデスク","NISA成長投資枠","2","株","282.7400","USD","290.2300","USD","","","+4.1700","USD","85,304","580.46 USD","+2,060","+2.47"
"米国株式","TWST","ツイスト・バイオサイエンス","NISA成長投資枠","34","株","36.8194","USD","28.5900","USD","","","+2.1200","USD","142,853","972.06 USD","-42,240","-22.82"
"米国株式","UTHR","ユナイテッド・セラピューティクス","NISA成長投資枠","3","株","315.0000","USD","312.2300","USD","","","+1.5700","USD","137,655","936.69 USD","-4,509","-3.17"
"米国株式","GNOM","グローバルX ゲノム＆バイオテクノロジー ETF","NISA成長投資枠","99","株","9.9941","USD","9.3460","USD","","","+0.2055","USD","135,974","925.25 USD","-12,981","-8.71"
"米国株式","PLTR","パランティア・テクノロジーズ","NISA成長投資枠","2","株","110.0000","USD","158.7400","USD","","","+2.5600","USD","46,656","317.48 USD","+12,888","+38.16"
"米国株式","SOFI","ソーファイ・テクノロジーズ","特定","50","株","22.5108","USD","25.0200","USD","","","+1.6900","USD","183,846","1,251.00 USD","+17,762","+10.69"
"米国株式","SOFI","ソーファイ・テクノロジーズ","NISA成長投資枠","288","株","16.9910","USD","25.0200","USD","","","+1.6900","USD","1,058,958","7,205.76 USD","+337,552","+46.79"
"米国株式","DNA","ギンコ・バイオワークス・ホールディングス","NISA成長投資枠","17","株","10.9464","USD","12.5450","USD","","","+0.7850","USD","31,340","213.26 USD","+3,983","+14.55"
